"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Ronald Guzman","TEX","25","78","10","4","9","1",".244","8.1%","27.9%","24.1%","50.0%","25.9%","14.3%","3.7%","0.0%","5.7","35.2%","76.7%","52.0%","59.4%","79.4%","71.3%","40.4%","67.4%","14.9%","46.3%","35.2%","18.5%","20.4%","46.3%","33.3%","40.7%","86.3","6.0","7.4%","110.8","33.3%","13.4%","28.3%","14388"
"Joshua Fuentes","COL","27","98","14","2","17","1",".306","1.9%","28.2%","24.3%","48.6%","27.1%","10.5%","5.9%","0.0%","4.1","40.4%","75.8%","55.4%","61.4%","86.9%","76.2%","42.5%","62.1%","13.2%","43.7%","28.2%","28.2%","16.9%","54.9%","28.2%","32.0%","84.0","10.6","1.4%","103.9","23.9%","13.2%","26.3%","16885"
"Miguel Cabrera","DET","37","204","28","10","35","1",".250","10.4%","22.1%","26.5%","41.9%","31.6%","8.2%","3.1%","0.0%","2.5","32.3%","72.8%","47.6%","50.0%","85.3%","70.4%","38.0%","60.2%","14.1%","40.0%","34.2%","25.8%","12.3%","57.4%","30.3%","36.8%","93.2","12.1","9.7%","112.2","49.7%","14.7%","28.8%","1744"
"Ryan Braun","MIL","36","129","14","8","26","1",".233","5.0%","19.1%","23.5%","37.3%","39.2%","10.0%","2.6%","100.0%","4.2","42.0%","70.6%","51.8%","59.9%","89.2%","73.5%","34.3%","63.8%","13.7%","47.6%","35.0%","17.5%","18.4%","49.5%","32.0%","29.8%","89.8","15.3","11.4%","110.2","40.0%","14.9%","28.6%","3410"
"Matt Kemp","COL","35","117","18","6","21","1",".239","11.4%","31.1%","26.3%","40.8%","32.9%","8.0%","6.5%","0.0%","3.3","32.1%","66.1%","43.9%","55.7%","77.6%","67.1%","34.6%","56.8%","14.4%","44.7%","32.9%","22.4%","17.1%","48.7%","34.2%","47.0%","85.3","11.9","7.9%","109.6","28.9%","17.0%","31.4%","5631"
"Ryan Lavarnway","MIA","32","11","0","0","0","0",".364","0.0%","18.2%","33.3%","44.4%","22.2%","0.0%","0.0%","0.0%","0.1","40.7%","58.8%","47.7%","90.9%","90.0%","90.5%","38.6%","81.8%","4.5%","66.7%","11.1%","22.2%","22.2%","55.6%","22.2%","18.2%","84.9","12.7","0.0%","101.8","22.2%","20.5%","25.0%","8879"
"Andres Gimenez","NYM","21","118","22","3","12","8",".263","5.3%","21.2%","21.3%","44.9%","33.7%","23.3%","2.5%","100.0%","9.1","34.7%","72.5%","50.1%","63.1%","86.5%","76.9%","40.7%","65.2%","11.6%","50.5%","25.3%","24.2%","18.7%","59.3%","22.0%","28.8%","86.8","13.5","3.3%","109.5","26.4%","14.6%","26.1%","19950"
"Pavin Smith","ARI","24","37","7","1","4","1",".270","11.4%","18.2%","32.3%","45.2%","22.6%","14.3%","7.1%","0.0%","7.6","20.4%","66.7%","39.6%","52.6%","86.4%","76.2%","41.5%","59.1%","9.4%","41.9%","38.7%","19.4%","22.6%","48.4%","29.0%","31.8%","86.6","8.1","6.5%","104.8","29.0%","20.8%","30.2%","19892"
"Starlin Castro","WSN","30","60","9","2","4","0",".267","4.8%","20.6%","21.3%","36.2%","42.6%","5.0%","5.9%","0.0%","4.3","31.3%","68.5%","47.1%","68.1%","89.5%","81.3%","42.5%","58.7%","8.8%","31.9%","40.4%","27.7%","23.4%","51.1%","25.5%","28.6%","87.1","16.8","2.1%","109.6","27.7%","17.6%","26.3%","4579"
"Kyle Higashioka","NYY","30","48","7","4","10","0",".250","0.0%","22.9%","8.3%","38.9%","52.8%","10.5%","0.0%","0.0%","1.9","38.5%","70.7%","53.4%","64.9%","86.2%","77.9%","46.1%","72.9%","11.8%","40.5%","32.4%","27.0%","10.8%","54.1%","35.1%","31.3%","89.7","18.5","13.5%","106.4","29.7%","17.4%","29.2%","5517"
"Asdrubal Cabrera","WSN","34","190","23","8","31","0",".242","8.9%","18.8%","18.3%","43.8%","37.9%","12.1%","3.0%","100.0%","3.4","32.5%","66.6%","45.8%","67.9%","90.0%","80.5%","39.1%","56.3%","9.0%","47.4%","32.5%","20.1%","18.2%","44.8%","37.0%","31.5%","89.5","13.7","6.5%","107.0","38.3%","16.6%","25.6%","4962"
"Nick Ahmed","ARI","30","199","29","5","29","4",".266","8.3%","21.2%","19.2%","51.7%","29.1%","15.9%","9.0%","50.0%","5.5","31.8%","72.3%","48.0%","67.3%","80.0%","74.9%","39.9%","59.0%","12.0%","56.2%","30.7%","13.1%","16.3%","55.6%","28.1%","31.8%","87.7","9.4","5.2%","107.7","33.3%","16.3%","28.4%","12147"
"Mauricio Dubon","SFG","25","157","21","4","19","2",".274","8.5%","20.3%","26.2%","33.6%","40.2%","8.2%","12.2%","50.0%","3.8","36.5%","77.9%","53.8%","68.1%","82.4%","76.8%","41.9%","63.8%","12.5%","37.1%","33.1%","29.8%","16.1%","54.0%","29.8%","31.1%","86.2","16.7","4.0%","106.3","30.4%","12.9%","25.4%","16530"
"Daniel Vogelbach","- - -","27","115","16","6","16","0",".209","14.7%","24.3%","20.7%","46.3%","32.9%","0.0%","0.0%","0.0%","1.2","20.3%","50.7%","33.7%","64.3%","86.9%","79.2%","43.9%","59.6%","7.0%","31.7%","40.2%","28.0%","13.4%","54.9%","31.7%","43.4%","89.5","10.2","8.5%","111.4","40.2%","25.7%","32.7%","14130"
"Orlando Arcia","MIL","25","173","22","5","20","2",".260","7.4%","16.9%","22.7%","46.1%","31.2%","6.8%","0.0%","0.0%","4.6","28.6%","71.0%","46.5%","69.8%","85.3%","79.8%","42.2%","59.8%","9.4%","37.3%","41.5%","21.1%","16.2%","47.2%","36.6%","27.0%","89.0","9.6","5.6%","108.7","38.7%","15.8%","25.2%","13185"
"Miguel Sano","MIN","27","186","31","13","25","0",".204","8.8%","43.9%","24.0%","36.5%","39.6%","10.5%","5.7%","0.0%","2.1","31.0%","73.7%","47.3%","36.5%","75.4%","59.6%","38.1%","59.5%","19.1%","56.3%","26.0%","17.7%","10.4%","41.7%","47.9%","59.0%","95.2","20.2","22.9%","115.8","57.3%","15.3%","34.4%","12164"
"Carlos Santana","CLE","34","206","34","8","30","0",".199","18.4%","16.9%","17.7%","42.7%","39.6%","10.8%","1.4%","0.0%","1.5","18.9%","62.6%","36.2%","68.8%","86.7%","81.0%","39.5%","52.2%","6.9%","46.3%","31.7%","22.0%","20.1%","45.7%","34.1%","38.4%","88.0","12.2","6.7%","111.5","36.6%","18.3%","25.2%","2396"
"Max Muncy","LAD","29","203","36","12","27","1",".192","15.7%","24.2%","13.8%","44.1%","42.1%","3.3%","9.4%","0.0%","3.0","18.3%","62.5%","36.6%","54.2%","82.8%","74.4%","41.5%","54.4%","9.4%","45.5%","32.4%","22.1%","10.3%","48.3%","41.4%","44.8%","88.5","14.2","12.4%","109.8","40.0%","20.5%","29.8%","13301"
"Ji-Man Choi","TBR","29","122","16","3","16","0",".230","13.8%","24.8%","20.2%","39.3%","40.4%","22.2%","0.0%","0.0%","1.3","26.7%","68.5%","44.4%","48.9%","83.1%","71.2%","42.2%","61.4%","12.8%","50.6%","30.3%","19.1%","19.1%","44.9%","36.0%","40.7%","89.0","15.7","3.4%","109.9","39.3%","16.0%","28.7%","5452"
"Luis Robert","CHW","22","202","33","11","31","9",".233","8.8%","32.2%","19.8%","37.4%","42.7%","14.3%","14.3%","0.0%","5.3","43.1%","82.2%","57.3%","47.1%","74.5%","61.4%","36.3%","67.4%","22.1%","35.1%","36.6%","28.2%","26.0%","44.3%","29.8%","45.8%","87.9","16.7","12.8%","115.8","39.8%","9.0%","31.1%","20043"
"Matt Olson","OAK","26","210","28","14","42","1",".195","13.9%","31.4%","20.6%","35.1%","44.3%","15.5%","4.3%","50.0%","3.4","23.5%","69.2%","42.5%","55.1%","74.3%","68.1%","41.5%","53.1%","13.6%","47.4%","33.1%","19.5%","12.8%","44.4%","42.9%","51.0%","92.3","19.7","12.8%","112.5","45.9%","15.3%","28.8%","14344"
"Ketel Marte","ARI","26","181","19","2","17","1",".287","3.6%","10.8%","21.1%","46.0%","32.9%","11.3%","9.5%","50.0%","3.8","33.3%","60.8%","45.0%","79.7%","93.3%","87.5%","42.6%","60.0%","5.6%","39.9%","39.3%","20.9%","17.8%","49.7%","32.5%","15.4%","89.2","10.0","3.7%","115.9","40.5%","20.3%","25.9%","13613"
"Ramon Laureano","OAK","25","183","27","6","25","2",".213","10.8%","26.1%","21.9%","43.0%","35.2%","6.7%","0.0%","0.0%","4.6","27.0%","58.4%","40.2%","60.7%","88.6%","77.8%","42.1%","58.1%","8.9%","43.0%","32.0%","25.0%","17.2%","50.0%","32.8%","39.6%","87.7","12.3","9.4%","111.3","34.4%","20.4%","29.4%","17128"
"Christian Arroyo","- - -","25","50","7","3","8","0",".240","7.4%","20.4%","5.1%","56.4%","38.5%","0.0%","4.5%","0.0%","1.4","37.8%","73.7%","51.8%","62.2%","87.5%","76.2%","39.0%","55.6%","12.3%","46.2%","41.0%","12.8%","15.4%","48.7%","35.9%","33.3%","89.9","7.8","7.7%","107.5","41.0%","12.3%","24.6%","16434"
"Austin Hays","BAL","24","122","20","4","9","2",".279","6.0%","18.7%","19.4%","49.0%","31.6%","9.7%","12.5%","0.0%","3.4","38.2%","61.4%","46.9%","71.1%","92.7%","81.7%","37.6%","67.2%","8.6%","44.4%","34.3%","21.2%","12.1%","68.7%","19.2%","27.6%","86.9","11.0","4.0%","106.9","31.3%","17.7%","26.3%","19363"
"Taylor Ward","LAA","26","94","16","0","5","2",".277","7.8%","27.5%","28.8%","43.9%","27.3%","0.0%","10.3%","0.0%","7.7","27.6%","65.5%","44.5%","51.7%","92.1%","78.2%","44.5%","58.8%","9.7%","21.2%","47.0%","31.8%","9.1%","57.6%","33.3%","35.3%","91.1","10.4","4.5%","108.6","47.0%","21.5%","31.2%","17548"
"Nathaniel Lowe","TBR","24","67","10","4","11","1",".224","11.8%","36.8%","28.2%","46.2%","25.6%","0.0%","0.0%","0.0%","3.7","26.2%","58.0%","40.3%","65.1%","78.9%","73.9%","44.4%","57.9%","10.5%","33.3%","41.0%","25.6%","10.3%","64.1%","25.6%","53.9%","88.9","7.1","15.4%","114.8","43.6%","23.1%","33.6%","19566"
"Phil Gosselin","PHI","31","92","14","3","12","0",".250","9.8%","26.5%","29.7%","37.5%","32.8%","9.5%","12.5%","100.0%","1.8","28.7%","58.8%","40.2%","71.6%","81.9%","77.4%","38.3%","56.9%","9.1%","30.8%","44.6%","24.6%","21.5%","47.7%","30.8%","39.2%","85.3","13.8","6.2%","110.0","29.2%","20.1%","29.2%","10953"
"Jacob Nottingham","MIL","25","48","8","4","13","0",".188","9.3%","37.0%","14.3%","46.4%","39.3%","18.2%","7.7%","0.0%","2.0","35.3%","74.4%","50.9%","45.8%","80.6%","66.1%","39.8%","59.3%","17.3%","53.6%","28.6%","17.9%","21.4%","50.0%","28.6%","53.7%","87.0","20.1","14.3%","107.4","39.3%","13.3%","30.5%","16448"
"Ben Gamel","MIL","28","114","13","3","10","0",".237","10.2%","30.7%","38.7%","37.3%","24.0%","11.1%","0.0%","0.0%","3.8","26.8%","64.0%","42.3%","40.0%","92.7%","73.3%","41.7%","58.3%","11.3%","38.7%","36.0%","25.3%","16.0%","54.7%","29.3%","43.3%","87.9","11.5","6.7%","108.2","32.0%","19.5%","30.8%","12160"
"Cedric Mullins II","BAL","25","140","16","3","12","7",".271","5.2%","24.2%","21.7%","43.5%","34.8%","21.9%","7.5%","60.0%","7.2","33.0%","68.1%","48.0%","70.2%","85.1%","79.2%","42.7%","59.5%","10.0%","43.0%","28.0%","29.0%","15.9%","62.6%","21.5%","31.4%","88.6","15.6","2.8%","110.2","31.8%","14.6%","24.6%","17929"
"Andrelton Simmons","LAA","30","118","19","0","10","2",".297","6.3%","12.6%","20.6%","54.9%","24.5%","28.0%","7.1%","0.0%","4.8","31.8%","64.5%","46.7%","76.6%","90.8%","85.6%","45.6%","66.9%","6.7%","42.2%","35.3%","22.5%","21.6%","51.0%","27.5%","18.9%","86.5","6.0","0.0%","105.8","30.4%","18.4%","25.1%","10847"
"Franchy Cordero","KCR","25","38","7","2","7","1",".211","9.5%","9.5%","11.8%","61.8%","26.5%","0.0%","4.8%","0.0%","5.9","28.0%","84.7%","51.7%","53.6%","93.4%","80.9%","41.9%","52.4%","9.9%","41.2%","50.0%","8.8%","11.8%","55.9%","32.4%","23.8%","91.2","-1.1","11.8%","111.8","47.1%","9.3%","19.2%","14567"
"Shin-Soo Choo","TEX","37","110","13","5","15","6",".236","10.2%","26.0%","22.4%","47.4%","30.3%","8.7%","0.0%","66.7%","4.2","23.1%","62.3%","39.6%","57.1%","75.2%","69.1%","42.1%","53.5%","12.2%","36.7%","32.9%","30.4%","10.1%","54.4%","35.4%","40.2%","90.0","11.4","10.1%","111.2","35.4%","18.5%","30.8%","3174"
"Freddy Galvis","CIN","30","141","18","7","16","1",".220","8.2%","18.9%","16.5%","46.8%","36.7%","10.0%","2.0%","50.0%","2.5","28.0%","69.3%","45.0%","61.8%","82.4%","74.8%","41.1%","54.1%","11.3%","44.1%","35.1%","20.7%","20.7%","52.3%","27.0%","31.4%","87.0","13.6","4.5%","107.7","27.9%","16.0%","27.3%","6609"
"Pedro Severino","BAL","26","160","17","5","21","1",".250","9.0%","22.5%","24.2%","41.7%","34.2%","7.3%","8.0%","0.0%","3.7","32.5%","68.6%","45.9%","57.2%","87.8%","74.1%","37.0%","52.8%","11.9%","52.1%","31.4%","16.5%","22.3%","49.6%","28.1%","34.3%","87.6","9.5","7.4%","111.2","31.4%","14.8%","26.7%","14523"
"Willians Astudillo","MIN","28","16","4","1","3","0",".250","0.0%","12.5%","35.7%","7.1%","57.1%","12.5%","0.0%","0.0%","2.6","57.7%","93.3%","70.7%","80.0%","92.9%","86.2%","36.6%","75.0%","9.8%","28.6%","35.7%","35.7%","14.3%","57.1%","28.6%","18.8%","87.2","30.7","7.1%","107.6","35.7%","4.9%","14.6%","15608"
"Sam Haggerty","SEA","26","50","7","1","6","4",".260","7.4%","29.6%","29.4%","41.2%","29.4%","0.0%","0.0%","0.0%","6.3","26.0%","70.6%","45.9%","33.3%","84.7%","68.6%","44.5%","66.7%","14.4%","50.0%","29.4%","20.6%","8.8%","52.9%","38.2%","38.9%","90.6","13.0","2.9%","106.1","41.2%","14.0%","28.4%","18054"
"Dexter Fowler","STL","34","90","14","4","15","1",".233","9.9%","27.7%","19.4%","43.5%","37.1%","4.3%","3.7%","0.0%","3.1","25.1%","71.4%","45.2%","59.4%","75.7%","70.6%","43.5%","58.4%","13.3%","45.2%","38.7%","16.1%","21.0%","51.6%","27.4%","41.6%","84.5","11.2","4.8%","106.9","27.4%","14.4%","27.7%","4062"
"Matt Joyce","MIA","35","127","16","2","14","1",".252","13.5%","27.7%","26.4%","39.1%","34.5%","6.7%","17.6%","0.0%","2.8","28.6%","67.1%","43.4%","56.6%","76.8%","68.6%","38.4%","57.4%","13.6%","43.7%","37.9%","18.4%","17.2%","54.0%","28.7%","42.6%","86.7","12.5","3.4%","106.2","32.2%","15.3%","28.9%","3353"
"Travis Shaw","TOR","30","163","17","6","17","0",".239","8.9%","27.8%","21.9%","30.7%","47.4%","7.4%","2.9%","0.0%","0.9","28.0%","70.5%","46.7%","63.1%","79.5%","74.0%","44.0%","59.4%","12.1%","40.4%","32.5%","27.2%","13.2%","57.9%","28.9%","40.0%","90.9","19.8","7.9%","112.8","44.7%","14.7%","26.8%","11982"
"Andrew Romine","TEX","34","4","1","0","0","0",".250","0.0%","25.0%","66.7%","0.0%","33.3%","0.0%","0.0%","0.0%","2.6","33.3%","75.0%","57.1%","66.7%","88.9%","83.3%","57.1%","50.0%","9.5%","33.3%","33.3%","33.3%","33.3%","0.0%","66.7%","25.0%","84.0","24.2","0.0%","98.4","33.3%","19.0%","28.6%","1159"
"Jacob Stallings","PIT","30","125","13","3","18","0",".248","10.5%","28.0%","20.9%","39.5%","39.5%","0.0%","8.8%","0.0%","1.0","23.9%","61.4%","38.5%","54.4%","88.5%","75.6%","39.0%","58.0%","9.4%","37.5%","31.8%","30.7%","11.4%","58.0%","30.7%","40.6%","88.6","12.5","4.5%","105.0","37.5%","20.1%","29.4%","13723"
"Yoan Moncada","CHW","25","200","28","6","24","0",".225","12.1%","31.2%","22.5%","40.3%","37.2%","18.8%","15.4%","0.0%","4.1","29.0%","65.4%","42.7%","53.1%","86.8%","72.6%","37.7%","56.7%","11.7%","41.5%","30.8%","27.7%","16.9%","50.8%","32.3%","45.9%","87.8","13.9","6.2%","109.9","33.1%","17.0%","28.7%","17232"
"David Bote","CHC","27","125","15","7","29","2",".200","11.7%","27.6%","16.3%","50.0%","33.7%","10.3%","4.7%","0.0%","4.9","22.9%","61.0%","39.1%","55.7%","81.9%","73.1%","42.4%","57.9%","10.5%","33.7%","40.7%","25.6%","15.1%","48.8%","36.0%","44.1%","92.4","9.3","10.5%","110.3","52.3%","20.5%","31.1%","14593"
"Yoshi Tsutsugo","TBR","28","157","27","8","24","0",".197","14.1%","27.0%","14.8%","39.8%","45.4%","10.2%","0.0%","0.0%","3.2","20.9%","65.8%","39.7%","70.9%","83.7%","79.8%","41.8%","58.9%","8.0%","34.3%","37.0%","28.7%","18.5%","50.0%","31.5%","45.4%","90.2","17.2","9.3%","108.9","47.2%","18.9%","26.9%","27459"
"Corey Dickerson","MIA","31","194","25","7","17","1",".258","7.1%","16.7%","13.8%","52.2%","34.0%","11.1%","3.6%","0.0%","3.3","36.5%","74.3%","53.3%","70.9%","79.9%","76.5%","44.4%","59.5%","12.5%","31.4%","34.0%","34.6%","17.0%","52.2%","30.8%","27.1%","85.7","11.1","5.6%","108.8","30.6%","12.8%","25.3%","10762"
"Carlos Correa","HOU","25","201","22","5","25","0",".264","7.2%","22.2%","20.9%","49.7%","29.4%","22.2%","6.6%","0.0%","1.2","33.9%","68.5%","47.0%","67.4%","88.8%","79.2%","37.6%","59.3%","9.8%","49.0%","30.1%","20.9%","17.0%","47.1%","35.9%","31.7%","88.6","11.4","5.9%","109.0","41.8%","17.3%","27.0%","14162"
"Nolan Arenado","COL","29","182","23","8","26","0",".253","7.5%","10.0%","15.7%","37.3%","47.0%","14.1%","1.6%","0.0%","1.3","35.1%","67.0%","48.2%","71.8%","93.6%","84.2%","40.8%","59.2%","7.6%","42.2%","35.5%","22.3%","21.7%","44.0%","34.3%","21.4%","87.8","19.1","5.4%","108.9","33.7%","16.4%","24.0%","9777"
"Evan Longoria","SFG","34","193","26","7","28","0",".254","5.3%","18.7%","18.5%","49.7%","31.8%","4.0%","3.8%","0.0%","3.2","29.7%","65.0%","45.0%","62.7%","90.6%","80.1%","43.2%","58.4%","8.9%","45.2%","33.1%","21.7%","11.5%","50.3%","38.2%","27.3%","91.7","10.7","11.5%","111.5","45.2%","19.9%","28.8%","9368"
"Ryan McMahon","COL","25","172","23","9","26","0",".215","9.3%","34.2%","15.0%","50.5%","34.6%","5.4%","7.4%","0.0%","3.1","29.2%","70.2%","46.8%","48.6%","79.9%","68.8%","43.0%","58.0%","14.6%","40.2%","30.8%","29.0%","11.2%","48.6%","40.2%","48.2%","90.1","9.2","11.2%","109.7","43.0%","16.1%","30.7%","15112"
"Tony Kemp","OAK","28","93","15","0","4","3",".247","13.2%","12.3%","29.1%","35.4%","35.4%","10.7%","0.0%","0.0%","4.4","24.2%","69.2%","43.1%","75.4%","91.6%","86.4%","42.2%","63.2%","5.9%","39.0%","34.1%","26.8%","13.4%","59.8%","26.8%","25.4%","85.8","18.8","1.2%","99.8","15.9%","16.9%","22.8%","14894"
"Magneuris Sierra","MIA","24","44","8","0","7","4",".250","9.4%","17.0%","14.7%","58.8%","26.5%","11.1%","15.0%","0.0%","9.1","32.3%","52.6%","39.8%","71.4%","95.0%","82.9%","36.9%","62.3%","6.8%","28.9%","36.8%","34.2%","13.2%","65.8%","21.1%","26.4%","83.7","3.8","0.0%","105.6","18.4%","16.0%","22.8%","17023"
"Isiah Kiner-Falefa","TEX","25","211","28","3","10","8",".280","6.1%","14.0%","16.2%","62.0%","21.8%","7.7%","10.8%","0.0%","6.1","30.2%","66.7%","47.4%","72.4%","93.3%","86.3%","47.3%","61.0%","6.5%","35.6%","37.8%","26.7%","17.2%","53.3%","29.4%","21.5%","87.2","0.8","2.2%","106.2","31.1%","20.3%","26.8%","16512"
"Luis Torrens","- - -","24","70","5","1","6","0",".257","9.0%","19.2%","23.6%","41.8%","34.5%","21.1%","0.0%","0.0%","0.6","22.0%","63.8%","40.5%","63.9%","89.2%","81.5%","44.2%","69.2%","7.5%","35.7%","35.7%","28.6%","12.5%","35.7%","51.8%","29.5%","93.0","13.9","1.8%","107.1","57.1%","22.1%","29.6%","15905"
"Aledmys Diaz","HOU","29","58","8","3","6","0",".241","1.7%","20.3%","21.7%","43.5%","34.8%","12.5%","0.0%","0.0%","2.1","40.7%","68.9%","54.2%","63.0%","83.1%","75.2%","47.7%","61.0%","13.4%","52.2%","30.4%","17.4%","13.0%","58.7%","28.3%","27.1%","87.3","10.2","2.2%","104.7","26.1%","19.0%","32.4%","15937"
"Victor Reyes","DET","25","202","30","4","14","8",".277","4.2%","21.1%","25.8%","45.8%","28.4%","2.3%","2.8%","100.0%","7.0","43.8%","69.4%","54.1%","64.8%","83.6%","74.4%","40.0%","61.5%","13.8%","36.9%","32.5%","30.6%","7.6%","65.6%","26.8%","27.2%","90.0","10.7","3.8%","108.6","41.4%","16.4%","30.2%","15487"
"Nick Markakis","ATL","36","130","15","1","15","0",".254","7.1%","16.3%","32.7%","40.2%","27.1%","10.3%","2.3%","0.0%","2.1","28.3%","60.4%","42.9%","82.4%","94.0%","89.8%","45.5%","53.2%","4.4%","33.6%","37.4%","29.0%","22.4%","48.6%","29.0%","24.1%","89.0","9.5","1.9%","106.1","42.1%","19.1%","23.5%","5930"
"Leody Taveras","TEX","21","119","20","4","6","8",".227","10.4%","32.1%","28.8%","38.4%","32.9%","25.0%","14.3%","25.0%","8.2","31.7%","68.0%","45.1%","64.8%","76.5%","71.3%","37.0%","68.7%","13.0%","41.6%","35.1%","23.4%","22.1%","45.5%","32.5%","45.5%","88.9","14.3","6.5%","107.8","41.6%","18.9%","31.8%","18900"
"Kyle Schwarber","CHC","27","191","30","11","24","1",".188","13.4%","29.5%","14.5%","50.8%","34.7%","2.3%","6.3%","100.0%","3.0","29.8%","62.6%","42.6%","63.8%","81.1%","73.7%","39.0%","52.2%","11.2%","49.6%","31.2%","19.2%","10.4%","48.8%","40.8%","47.8%","92.8","8.8","11.2%","114.9","47.2%","16.5%","27.7%","16478"
"Justin Upton","LAA","32","147","20","9","22","0",".204","6.6%","25.9%","13.3%","41.9%","44.8%","8.5%","4.5%","0.0%","2.5","26.2%","66.6%","43.7%","51.5%","83.8%","72.8%","43.4%","58.4%","11.9%","46.7%","35.2%","18.1%","12.4%","45.7%","41.9%","38.0%","91.7","18.6","8.6%","111.5","43.8%","18.2%","30.1%","5222"
"Austin Riley","ATL","23","188","24","8","27","0",".239","7.8%","23.8%","23.7%","41.7%","34.5%","6.3%","8.6%","0.0%","2.4","37.1%","79.6%","54.1%","57.0%","83.3%","72.5%","40.0%","65.0%","14.9%","41.7%","30.2%","28.1%","15.7%","50.7%","33.6%","35.4%","91.0","13.6","10.0%","111.0","42.9%","11.1%","26.0%","18360"
"Austin Barnes","LAD","30","86","14","1","9","3",".244","12.5%","23.1%","17.5%","44.4%","38.1%","16.7%","7.1%","0.0%","5.1","21.9%","72.2%","45.1%","71.7%","79.2%","77.3%","46.2%","53.8%","10.3%","43.1%","41.5%","15.4%","18.5%","47.7%","33.8%","36.5%","86.9","16.2","1.5%","105.4","35.4%","13.8%","24.1%","12158"
"Anderson Tejeda","TEX","22","75","7","3","8","4",".253","2.6%","39.0%","17.8%","42.2%","40.0%","22.2%","5.3%","0.0%","7.2","37.3%","64.8%","49.8%","50.0%","71.6%","62.8%","45.5%","57.1%","18.5%","35.6%","44.4%","20.0%","26.7%","35.6%","37.8%","45.5%","90.8","14.3","13.3%","112.2","42.2%","20.7%","39.3%","19909"
"Anthony Alford","- - -","25","28","5","2","7","3",".214","3.4%","27.6%","10.0%","55.0%","35.0%","0.0%","27.3%","0.0%","10.0","39.4%","73.8%","52.8%","57.7%","61.3%","59.6%","38.9%","58.6%","21.3%","20.0%","55.0%","25.0%","20.0%","70.0%","10.0%","37.9%","81.3","4.2","5.0%","105.8","30.0%","14.8%","36.1%","14329"
"Brian Goodwin","- - -","29","144","17","6","22","5",".215","10.4%","32.9%","27.2%","31.5%","41.3%","5.3%","10.3%","0.0%","6.1","23.7%","59.8%","39.9%","50.6%","77.6%","68.8%","44.9%","57.3%","12.5%","50.0%","31.5%","18.5%","8.7%","57.6%","33.7%","47.0%","89.9","20.7","10.9%","109.6","41.3%","20.8%","33.3%","12858"
"Adam Haseley","PHI","24","79","7","0","13","0",".278","7.6%","18.5%","27.0%","54.0%","19.0%","0.0%","11.8%","0.0%","1.0","30.2%","61.9%","42.8%","73.1%","95.6%","86.1%","39.8%","53.3%","6.0%","27.3%","40.9%","31.8%","21.2%","54.5%","24.2%","26.1%","86.6","0.3","1.5%","105.7","31.8%","19.2%","25.2%","19878"
"Alex Avila","MIN","33","49","6","1","2","0",".184","17.7%","35.5%","40.7%","33.3%","25.9%","0.0%","11.1%","0.0%","1.2","20.0%","56.8%","35.3%","48.4%","79.4%","69.1%","41.7%","50.0%","10.9%","37.0%","37.0%","25.9%","25.9%","33.3%","40.7%","54.8%","85.3","12.6","3.7%","106.2","40.7%","21.3%","32.2%","7476"
"Adalberto Mondesi","KCR","24","219","33","6","22","24",".256","4.7%","30.0%","12.5%","48.5%","39.0%","11.3%","7.6%","40.0%","8.5","37.5%","78.0%","53.8%","47.9%","73.3%","62.7%","40.3%","61.8%","20.1%","45.0%","28.5%","26.5%","12.6%","51.0%","36.4%","37.3%","90.6","13.7","7.3%","111.0","39.1%","10.4%","30.5%","13769"
"Kolten Wong","STL","29","181","26","1","16","5",".265","9.6%","14.4%","21.5%","49.7%","28.9%","14.0%","6.8%","20.0%","5.9","27.3%","65.9%","42.9%","76.8%","90.7%","85.4%","40.4%","56.7%","6.2%","29.9%","37.7%","32.5%","14.9%","60.4%","24.7%","24.5%","86.5","10.8","0.6%","103.7","26.6%","17.4%","23.7%","12532"
"Brett Phillips","- - -","26","51","10","2","5","6",".196","13.6%","25.4%","28.6%","40.0%","31.4%","0.0%","7.1%","100.0%","9.6","21.4%","67.0%","41.7%","63.3%","68.0%","66.7%","44.4%","62.7%","13.9%","52.8%","38.9%","8.3%","16.7%","52.8%","30.6%","42.4%","84.9","13.7","8.3%","106.4","22.2%","13.5%","27.4%","14735"
"Josh Reddick","HOU","33","188","22","4","23","1",".245","9.5%","20.0%","23.1%","36.1%","40.8%","18.3%","1.9%","0.0%","3.7","28.3%","69.9%","46.3%","64.2%","87.0%","79.1%","43.3%","61.9%","9.7%","40.8%","39.5%","19.7%","22.4%","49.7%","27.9%","31.4%","85.9","18.9","4.7%","106.7","29.1%","16.3%","26.0%","3892"
"Shogo Akiyama","CIN","32","155","16","0","9","7",".245","13.7%","18.6%","24.0%","54.5%","21.5%","0.0%","6.1%","0.0%","5.0","28.4%","61.2%","42.5%","71.4%","88.9%","82.2%","43.0%","61.2%","7.6%","26.4%","35.5%","38.0%","17.4%","57.9%","24.8%","32.2%","85.1","2.9","0.8%","104.0","25.4%","19.7%","27.3%","27461"
