"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Robinson Chirinos","HOU","35","366","57","17","58","1",".238","11.7%","28.6%","25.5%","35.0%","39.5%","11.5%","14.1%","0.0%","2.8","33.5%","68.9%","47.1%","50.8%","81.8%","68.3%","38.4%","62.7%","14.9%","47.6%","31.5%","21.0%","17.7%","42.7%","39.5%","44.2%","87.0","17.0","6.9%","107.8","36.3%","14.8%","29.7%","3142"
"Pablo Sandoval","SFG","32","272","42","14","41","1",".268","6.1%","22.6%","20.7%","47.1%","32.2%","10.4%","6.1%","0.0%","2.9","40.8%","76.6%","54.7%","69.0%","80.5%","75.2%","38.8%","62.8%","13.5%","29.5%","40.0%","30.5%","19.0%","39.5%","41.4%","33.4%","89.8","10.8","10.5%","114.7","44.3%","11.8%","25.3%","5409"
"David Bote","CHC","26","303","47","11","41","5",".257","12.4%","26.1%","23.1%","50.0%","26.9%","10.5%","11.3%","0.0%","3.6","31.6%","66.9%","45.7%","53.8%","81.2%","69.8%","39.8%","56.7%","13.8%","40.6%","34.4%","25.0%","14.6%","49.1%","36.3%","41.6%","89.7","7.7","5.2%","113.8","36.3%","15.7%","29.5%","14593"
"Marcell Ozuna","STL","28","485","80","29","89","12",".241","11.3%","20.8%","23.4%","41.4%","35.2%","9.9%","7.1%","0.0%","4.8","30.0%","69.2%","44.9%","57.8%","86.0%","74.3%","37.8%","58.8%","11.5%","49.5%","31.7%","18.8%","11.8%","39.8%","48.4%","37.3%","91.8","13.5","11.8%","115.3","48.1%","15.6%","27.1%","10324"
"Jonathan Villar","BAL","28","642","111","24","73","40",".274","8.5%","24.6%","19.8%","48.9%","31.3%","7.6%","6.2%","33.3%","7.1","30.8%","75.1%","49.1%","63.5%","81.4%","74.9%","41.4%","63.2%","12.3%","39.6%","33.7%","26.7%","21.8%","49.2%","29.0%","36.6%","88.9","8.1","6.6%","114.0","37.0%","13.9%","26.3%","10071"
"Manny Machado","SDP","26","587","81","32","85","5",".256","9.8%","19.4%","17.1%","41.8%","41.1%","13.7%","6.2%","0.0%","3.2","31.4%","69.8%","46.6%","62.5%","87.6%","77.4%","39.6%","61.6%","10.5%","36.8%","36.1%","27.1%","19.0%","37.2%","43.7%","34.0%","91.2","12.9","7.6%","112.6","43.7%","15.1%","25.7%","11493"
"Jose Ramirez","CLE","26","482","68","23","83","24",".255","9.6%","13.7%","20.6%","32.9%","46.5%","10.4%","7.4%","0.0%","5.9","26.4%","64.2%","42.3%","76.8%","92.3%","86.7%","42.1%","56.6%","5.6%","48.8%","29.2%","22.0%","17.9%","41.8%","40.3%","27.5%","89.2","19.8","6.0%","112.1","35.7%","18.6%","24.3%","13510"
"Avisail Garcia","TBR","28","489","61","20","72","10",".282","5.8%","23.6%","22.3%","46.0%","31.6%","5.2%","10.1%","0.0%","4.4","40.0%","81.9%","56.4%","54.4%","80.6%","69.3%","39.1%","62.3%","17.3%","42.2%","36.5%","21.3%","18.5%","41.4%","40.1%","33.2%","89.5","9.8","10.6%","116.2","40.3%","9.3%","26.6%","5760"
"Phillip Ervin","CIN","26","236","30","7","23","4",".271","6.9%","24.2%","23.4%","39.4%","37.1%","12.3%","5.8%","0.0%","5.7","29.7%","72.7%","47.9%","57.0%","82.4%","73.3%","42.4%","57.7%","12.8%","37.1%","34.3%","28.6%","20.0%","42.3%","37.7%","33.8%","85.0","14.5","4.0%","111.6","29.7%","16.0%","28.8%","14738"
"Derek Dietrich","CIN","29","251","41","19","43","1",".187","9.2%","24.2%","17.0%","34.7%","48.3%","16.5%","1.6%","50.0%","4.3","31.6%","73.2%","48.9%","58.1%","79.9%","71.7%","41.5%","57.2%","13.8%","48.3%","28.1%","23.6%","23.6%","37.6%","38.8%","39.5%","87.2","20.7","10.1%","111.7","30.2%","13.8%","27.6%","10542"
"Kolten Wong","STL","28","478","61","11","59","24",".285","8.6%","15.1%","20.4%","44.0%","35.6%","11.8%","9.5%","45.8%","5.9","31.4%","69.6%","47.4%","70.7%","92.1%","83.8%","41.8%","57.0%","7.7%","37.9%","36.5%","25.6%","20.7%","45.3%","34.0%","25.7%","86.1","12.6","2.0%","107.7","25.1%","16.3%","23.9%","12532"
"Shed Long Jr.","SEA","23","152","21","5","15","3",".263","9.5%","23.8%","21.4%","47.3%","31.3%","5.7%","5.7%","0.0%","4.4","27.3%","68.0%","45.2%","63.4%","82.8%","76.3%","44.0%","64.3%","10.7%","39.3%","33.0%","27.7%","18.8%","48.2%","33.0%","36.3%","87.6","11.2","4.5%","107.7","35.7%","17.4%","28.1%","16542"
"Jackson Frazier","NYY","24","225","31","12","38","1",".267","6.5%","28.5%","19.6%","38.6%","41.8%","10.6%","1.6%","0.0%","2.1","25.0%","70.3%","44.1%","43.3%","82.7%","69.8%","42.1%","58.1%","13.3%","38.0%","36.1%","25.9%","17.7%","46.8%","35.4%","39.8%","88.5","15.3","10.8%","109.2","36.1%","17.9%","31.3%","15983"
"Seth Mejias-Brean","SDP","28","30","3","2","5","0",".233","9.1%","27.3%","14.3%","52.4%","33.3%","0.0%","0.0%","0.0%","0.3","32.1%","62.7%","43.9%","50.0%","81.3%","67.2%","38.6%","51.5%","14.4%","33.3%","42.9%","23.8%","23.8%","42.9%","33.3%","42.4%","89.5","8.2","9.5%","105.7","38.1%","17.4%","31.8%","13905"
"Brock Holt","BOS","31","259","38","3","31","1",".297","9.5%","19.3%","24.8%","47.6%","27.7%","10.5%","5.1%","0.0%","3.9","27.3%","60.7%","42.0%","71.7%","90.8%","83.8%","44.0%","60.7%","6.8%","35.9%","38.3%","25.7%","14.6%","50.0%","35.4%","29.8%","87.5","11.2","1.5%","103.0","30.6%","21.5%","28.3%","9345"
"Daniel Vogelbach","SEA","26","462","73","30","76","0",".208","16.5%","26.7%","22.2%","33.0%","44.8%","7.8%","3.8%","0.0%","1.2","22.0%","52.2%","34.1%","64.4%","81.1%","74.6%","40.0%","52.0%","8.6%","41.3%","34.0%","24.8%","19.4%","42.2%","38.4%","48.6%","88.8","17.1","9.8%","113.1","37.8%","23.1%","31.8%","14130"
"A.J. Pollock","LAD","31","308","49","15","47","5",".266","6.7%","21.6%","19.8%","43.5%","36.7%","12.6%","7.8%","0.0%","4.9","31.6%","67.0%","46.6%","54.8%","88.7%","75.4%","42.2%","59.4%","11.4%","47.1%","32.4%","20.6%","17.2%","39.1%","43.7%","32.7%","90.6","13.7","7.6%","108.1","39.9%","16.9%","28.3%","9256"
"James McCann","CHW","29","439","62","18","60","4",".273","6.3%","28.8%","23.5%","44.4%","32.1%","7.2%","4.5%","0.0%","3.8","35.3%","68.8%","49.6%","56.9%","83.6%","72.7%","42.8%","60.9%","13.5%","37.6%","32.0%","30.4%","13.9%","46.2%","39.9%","38.9%","90.2","10.8","8.3%","112.0","44.2%","16.5%","30.1%","12859"
"Brian Goodwin","LAA","28","413","65","17","47","7",".262","8.3%","28.2%","24.5%","32.5%","43.0%","11.4%","6.5%","50.0%","5.4","28.2%","59.4%","42.0%","61.3%","82.0%","74.3%","44.4%","59.0%","10.8%","36.8%","40.3%","22.9%","17.4%","44.8%","37.8%","40.2%","87.6","18.3","6.3%","111.4","32.6%","20.8%","31.6%","12858"
"Steven Brault","PIT","27","42","8","1","2","0",".333","2.0%","16.0%","29.4%","52.9%","17.6%","16.7%","5.6%","0.0%","2.6","45.3%","74.7%","60.0%","67.6%","87.5%","80.0%","50.0%","68.0%","12.0%","41.5%","31.7%","26.8%","19.5%","65.9%","14.6%","20.0%","85.1","5.9","2.4%","105.4","24.4%","12.7%","24.7%","15291"
"Nick Markakis","ATL","35","414","61","9","62","2",".285","10.0%","12.6%","24.9%","47.9%","27.1%","3.1%","7.5%","0.0%","3.6","27.4%","61.6%","41.8%","84.2%","91.6%","88.8%","42.1%","57.1%","4.7%","34.3%","36.3%","29.4%","13.6%","45.4%","41.0%","24.5%","91.2","7.3","2.5%","114.7","44.3%","20.6%","25.3%","5930"
"Danny Mendick","CHW","25","39","6","2","4","0",".308","2.5%","27.5%","22.2%","44.4%","33.3%","11.1%","16.7%","100.0%","1.8","33.0%","60.6%","45.1%","56.7%","88.4%","75.3%","43.8%","70.0%","11.1%","35.7%","28.6%","35.7%","32.1%","39.3%","28.6%","35.0%","86.4","12.8","0.0%","102.2","21.4%","22.8%","34.0%","18889"
"Joey Votto","CIN","35","525","79","15","47","5",".261","12.5%","20.2%","25.2%","37.0%","37.8%","2.6%","5.3%","0.0%","3.8","21.0%","68.1%","41.5%","69.3%","87.7%","82.4%","43.4%","59.0%","7.3%","36.0%","38.0%","25.9%","10.1%","48.4%","41.5%","35.2%","88.9","15.2","6.4%","109.5","37.3%","17.7%","25.0%","4314"
"Kyle Seager","SEA","31","393","55","23","63","2",".239","9.9%","19.4%","23.4%","32.8%","43.8%","8.1%","5.9%","100.0%","2.6","27.6%","70.1%","45.3%","66.9%","88.2%","80.6%","41.7%","59.1%","8.8%","39.2%","36.6%","24.3%","11.3%","50.8%","37.9%","34.5%","89.5","18.4","7.1%","107.1","39.2%","15.9%","24.7%","9785"
"Christian Vazquez","BOS","28","482","66","23","72","4",".276","6.3%","19.4%","23.0%","39.3%","37.7%","6.9%","3.3%","20.0%","3.3","35.2%","69.0%","49.9%","70.8%","88.4%","81.4%","43.5%","64.1%","9.3%","36.2%","35.1%","28.7%","12.7%","53.7%","33.6%","30.1%","89.4","13.2","5.2%","107.4","39.3%","16.4%","25.7%","9774"
"Stephen Vogt","SFG","34","255","30","10","40","3",".263","7.1%","23.6%","24.4%","26.9%","48.7%","5.3%","3.8%","0.0%","4.5","37.7%","71.8%","50.8%","65.5%","83.4%","75.2%","38.3%","55.7%","12.6%","38.9%","35.2%","25.9%","9.8%","48.7%","41.5%","34.3%","89.8","22.4","7.3%","109.6","40.9%","15.5%","28.1%","5000"
"Asdrubal Cabrera","- - -","33","447","69","18","91","4",".260","11.1%","20.0%","23.8%","38.4%","37.8%","4.5%","3.7%","100.0%","3.8","28.8%","67.1%","45.3%","70.5%","87.3%","81.2%","43.1%","58.0%","8.5%","50.1%","27.6%","22.2%","12.3%","45.0%","42.7%","34.6%","89.1","14.4","5.7%","108.4","35.3%","16.9%","25.4%","4962"
"Chris Taylor","LAD","28","366","52","12","52","8",".262","8.9%","27.8%","27.3%","37.9%","34.8%","2.3%","8.3%","20.0%","6.4","29.8%","74.9%","49.6%","47.9%","81.6%","70.3%","43.9%","62.6%","14.7%","34.9%","32.9%","32.2%","14.0%","48.1%","38.0%","39.6%","86.0","13.8","4.7%","108.3","31.8%","13.6%","28.3%","13757"
"Rene Rivera","NYM","35","17","2","1","3","0",".235","15.0%","20.0%","15.4%","46.2%","38.5%","0.0%","0.0%","0.0%","0.6","20.0%","73.0%","42.5%","80.0%","77.8%","78.4%","42.5%","65.0%","9.2%","53.8%","38.5%","7.7%","15.4%","38.5%","46.2%","40.0%","87.6","19.2","0.0%","104.9","23.1%","16.1%","25.3%","3648"
"Yasiel Puig","- - -","28","555","76","24","84","19",".267","7.2%","21.8%","21.2%","38.1%","40.7%","12.7%","13.0%","0.0%","4.9","34.2%","77.8%","52.6%","59.3%","83.2%","74.2%","42.1%","60.6%","13.6%","36.2%","34.3%","29.6%","20.2%","41.3%","38.5%","32.9%","90.0","13.7","8.5%","114.4","38.3%","11.3%","24.8%","14225"
"Tyler Naquin","CLE","28","274","34","10","34","4",".288","4.8%","22.4%","20.6%","43.5%","35.9%","13.3%","4.4%","0.0%","3.2","39.7%","75.1%","54.6%","67.7%","82.4%","76.2%","42.1%","67.3%","13.0%","40.6%","31.6%","27.8%","19.3%","40.1%","40.6%","30.6%","90.8","12.6","8.0%","114.4","38.7%","12.7%","25.7%","13359"
"Kole Calhoun","LAA","31","552","92","33","74","4",".232","11.1%","25.6%","22.3%","40.8%","36.9%","8.3%","1.3%","50.0%","3.7","29.0%","75.2%","48.1%","48.5%","80.9%","69.5%","41.4%","59.3%","14.7%","50.5%","29.3%","20.2%","13.5%","44.1%","42.3%","41.9%","89.5","14.9","10.7%","110.1","41.7%","13.1%","27.8%","11200"
"Dustin Garneau","- - -","31","86","14","3","14","0",".244","9.9%","21.8%","12.5%","39.1%","48.4%","22.6%","12.0%","0.0%","2.0","21.4%","69.9%","46.3%","64.3%","89.6%","83.9%","51.2%","67.3%","7.5%","56.3%","26.6%","17.2%","23.4%","46.9%","29.7%","34.7%","84.5","20.7","4.6%","106.0","24.6%","16.4%","23.9%","9433"
"Ryan McMahon","COL","24","480","70","24","83","5",".250","10.4%","29.7%","21.3%","50.8%","27.9%","5.6%","4.3%","33.3%","3.7","29.2%","76.7%","49.5%","54.5%","78.3%","70.3%","42.8%","62.7%","14.7%","33.9%","38.2%","28.0%","14.6%","41.3%","44.1%","44.5%","91.9","8.8","8.7%","112.9","47.8%","12.0%","26.7%","15112"
"Andrew Benintendi","BOS","24","541","72","13","68","10",".266","9.6%","22.8%","21.0%","38.3%","40.7%","10.3%","4.5%","25.0%","5.1","32.9%","78.6%","51.2%","68.9%","82.6%","77.3%","39.9%","61.8%","11.6%","35.2%","37.9%","26.9%","13.4%","48.4%","38.1%","34.5%","89.1","17.3","7.1%","107.7","37.7%","11.7%","23.3%","17901"
"Mike Brosseau","TBR","25","132","17","6","16","1",".273","4.9%","27.5%","17.2%","39.8%","43.0%","12.5%","10.8%","0.0%","3.1","39.9%","70.9%","52.3%","69.0%","83.3%","76.8%","40.0%","58.5%","12.1%","39.4%","30.9%","29.8%","27.7%","30.9%","41.5%","36.6%","86.5","14.3","2.1%","108.3","36.2%","15.5%","27.7%","19683"
"Brian Dozier","WSN","32","416","54","20","50","3",".238","12.7%","21.8%","20.6%","35.4%","44.1%","15.3%","6.4%","100.0%","1.9","22.3%","62.2%","39.1%","61.0%","84.7%","76.8%","42.1%","56.0%","9.0%","54.2%","26.0%","19.9%","18.3%","43.6%","38.1%","38.6%","88.5","19.0","6.4%","106.6","35.3%","19.5%","28.5%","9810"
"Ryan LaMarre","MIN","30","23","3","2","3","1",".217","11.5%","19.2%","22.2%","44.4%","33.3%","16.7%","12.5%","0.0%","2.9","22.9%","60.0%","37.4%","68.8%","88.9%","81.4%","39.1%","69.2%","7.0%","44.4%","27.8%","27.8%","22.2%","44.4%","33.3%","38.5%","86.1","8.0","11.1%","105.4","27.8%","21.7%","28.7%","10700"
"Vladimir Guerrero Jr.","TOR","20","464","52","15","69","0",".272","8.9%","17.7%","17.3%","49.6%","33.1%","14.5%","5.9%","0.0%","1.9","31.6%","71.9%","46.8%","63.7%","87.2%","77.3%","37.8%","64.2%","10.6%","41.3%","36.8%","21.9%","20.8%","44.8%","34.4%","29.6%","89.4","6.7","7.2%","118.9","38.7%","14.9%","25.5%","19611"
"Scott Kingery","PHI","25","458","64","19","55","15",".258","6.8%","29.4%","26.2%","33.9%","39.9%","12.8%","10.4%","0.0%","6.4","33.7%","73.3%","50.4%","53.9%","80.0%","69.9%","42.2%","63.6%","15.2%","47.1%","32.5%","20.4%","14.0%","40.1%","45.9%","40.0%","88.4","17.6","7.3%","111.4","38.9%","14.4%","29.5%","17975"
"Eddie Rosario","MIN","27","562","91","32","109","3",".276","3.7%","14.6%","20.4%","37.4%","42.2%","11.8%","4.4%","100.0%","3.6","46.3%","80.4%","59.1%","75.3%","85.1%","80.3%","37.6%","59.5%","11.7%","48.8%","30.7%","20.5%","15.4%","45.6%","39.0%","23.7%","89.2","16.8","7.7%","108.6","35.7%","9.1%","20.7%","12155"
"Nathaniel Lowe","TBR","23","152","24","7","19","0",".263","7.7%","29.6%","24.0%","40.4%","35.6%","10.8%","4.8%","0.0%","1.8","30.0%","67.9%","44.8%","57.8%","89.2%","76.4%","39.1%","55.0%","10.6%","34.6%","36.5%","28.8%","15.4%","43.3%","41.3%","41.4%","91.3","13.0","10.6%","114.3","45.2%","16.4%","27.0%","19566"
"Todd Frazier","NYM","33","447","63","21","67","1",".251","8.0%","21.2%","21.8%","35.0%","43.2%","12.2%","5.0%","100.0%","3.0","28.5%","63.6%","42.7%","60.9%","85.8%","75.9%","40.5%","55.7%","10.3%","49.9%","32.0%","18.2%","19.9%","46.6%","33.4%","33.5%","88.3","17.1","6.7%","108.4","37.8%","18.1%","28.4%","785"
"Jason Castro","MIN","32","237","39","13","30","0",".232","12.0%","32.0%","24.7%","36.0%","39.3%","3.4%","11.1%","0.0%","1.7","25.2%","70.9%","45.2%","50.6%","72.2%","65.4%","43.8%","55.6%","15.6%","39.7%","32.5%","27.8%","11.9%","36.4%","51.7%","48.7%","91.8","14.4","15.9%","110.5","47.0%","14.3%","29.9%","8722"
"Daniel Murphy","COL","34","438","56","13","78","1",".279","6.7%","15.5%","24.2%","39.7%","36.1%","9.0%","5.5%","0.0%","2.5","33.9%","68.7%","48.2%","78.6%","94.2%","87.7%","41.1%","60.5%","5.9%","38.9%","34.2%","26.9%","16.8%","52.7%","30.4%","24.9%","86.3","14.6","2.4%","106.4","28.1%","16.5%","22.5%","4316"
"Ian Desmond","COL","33","443","64","20","65","3",".255","7.1%","24.7%","22.5%","47.1%","30.5%","10.1%","3.9%","0.0%","4.5","29.6%","67.4%","45.5%","59.2%","86.3%","76.1%","42.1%","60.4%","10.9%","34.9%","34.3%","30.9%","16.2%","45.0%","38.8%","35.9%","90.9","8.7","9.8%","113.6","42.5%","18.0%","28.9%","6885"
"Jason Heyward","CHC","29","513","78","21","62","8",".251","11.5%","18.7%","19.6%","46.3%","34.2%","10.1%","5.9%","0.0%","4.7","30.3%","68.0%","45.4%","67.7%","87.8%","79.7%","40.0%","54.5%","9.2%","41.9%","36.5%","21.7%","17.7%","47.0%","35.2%","33.8%","88.8","11.3","4.9%","111.8","36.2%","15.9%","25.1%","4940"
"Mike Freeman","CLE","31","177","27","4","24","1",".277","10.3%","28.6%","25.0%","49.1%","25.9%","6.7%","7.0%","10.0%","2.3","27.7%","62.2%","44.0%","64.5%","84.6%","77.9%","47.0%","63.8%","9.7%","34.9%","34.1%","31.0%","12.7%","53.2%","34.1%","40.8%","85.6","8.9","1.6%","105.7","27.8%","19.9%","29.6%","11241"
"Wilson Ramos","NYM","31","473","52","14","73","1",".288","8.4%","13.2%","18.4%","62.4%","19.2%","6.4%","4.7%","0.0%","1.6","37.5%","76.1%","53.9%","69.1%","89.5%","81.3%","42.4%","64.1%","10.1%","39.8%","34.6%","25.6%","18.2%","49.6%","32.2%","24.2%","90.0","-0.1","3.7%","111.0","42.5%","11.7%","21.8%","1433"
"Nomar Mazara","TEX","24","429","69","19","66","4",".268","6.0%","23.0%","20.5%","46.8%","32.7%","7.5%","4.6%","0.0%","4.2","38.4%","69.4%","50.7%","66.2%","82.7%","75.1%","39.5%","59.5%","12.6%","34.6%","32.1%","33.3%","19.3%","35.5%","45.3%","33.0%","89.1","10.7","9.5%","114.6","38.8%","16.2%","28.8%","14553"
"Jon Berti","MIA","29","256","52","6","24","17",".273","8.4%","25.4%","26.2%","53.0%","20.8%","10.5%","11.3%","0.0%","7.1","25.0%","63.1%","41.6%","60.6%","85.7%","77.2%","43.6%","62.0%","9.5%","34.8%","36.4%","28.8%","19.6%","44.0%","36.4%","35.9%","86.9","5.2","3.3%","111.9","38.0%","21.7%","31.2%","12037"
"Bryan Holaday","MIA","31","115","12","4","12","0",".278","8.5%","16.3%","22.1%","49.5%","28.4%","18.5%","10.6%","0.0%","1.3","28.5%","67.1%","44.4%","66.7%","90.6%","81.6%","41.2%","58.1%","8.2%","47.9%","34.4%","17.7%","17.7%","40.6%","41.7%","27.9%","88.3","10.8","1.0%","104.8","34.4%","16.7%","24.9%","11287"
"Domingo Santana","SEA","26","451","63","21","69","8",".253","9.9%","32.3%","26.6%","42.6%","30.8%","1.1%","7.3%","0.0%","3.9","26.4%","71.7%","46.7%","51.9%","78.1%","69.9%","44.9%","62.1%","14.1%","39.4%","34.6%","26.0%","12.8%","44.3%","42.9%","46.4%","89.0","11.3","12.0%","109.5","40.5%","15.7%","29.8%","10348"
"Ehire Adrianza","MIN","29","202","34","5","22","0",".272","8.5%","16.9%","26.8%","40.9%","32.3%","7.5%","6.0%","25.0%","4.9","30.3%","71.2%","48.4%","69.4%","90.5%","83.1%","44.3%","57.2%","8.2%","35.7%","33.9%","30.4%","13.1%","54.2%","32.7%","27.5%","86.4","15.1","3.5%","106.9","27.6%","14.3%","22.4%","8418"
"Dexter Fowler","STL","33","487","69","19","67","8",".238","12.9%","24.7%","25.3%","38.8%","35.9%","4.8%","7.4%","50.0%","3.5","25.3%","68.6%","42.5%","62.3%","82.4%","75.2%","39.7%","59.9%","10.6%","40.3%","37.1%","22.6%","17.7%","44.9%","37.4%","40.9%","85.5","12.9","7.1%","111.1","28.3%","16.4%","26.9%","4062"
"Cristhian Adames","SFG","27","22","1","0","2","0",".318","8.3%","33.3%","28.6%","64.3%","7.1%","0.0%","0.0%","0.0%","0.2","32.2%","79.1%","52.0%","68.4%","70.6%","69.8%","42.2%","62.5%","15.7%","50.0%","42.9%","7.1%","7.1%","64.3%","28.6%","41.7%","85.9","2.2","0.0%","101.5","28.6%","11.8%","27.5%","6013"
"Roberto Perez","CLE","30","389","46","24","63","0",".239","10.0%","28.3%","17.1%","50.6%","32.3%","3.5%","2.3%","10.0%","1.5","24.2%","61.5%","39.5%","55.5%","79.5%","70.8%","41.0%","58.1%","11.5%","33.0%","36.6%","30.4%","15.0%","44.7%","40.3%","43.7%","90.2","5.7","10.6%","112.8","41.0%","19.9%","31.4%","2900"
"Mitch Haniger","SEA","28","246","46","15","32","4",".220","10.6%","28.6%","20.4%","34.7%","44.9%","14.7%","6.9%","0.0%","5.9","24.9%","63.8%","42.5%","53.6%","83.8%","74.1%","45.3%","58.7%","11.0%","50.3%","30.5%","19.2%","21.0%","43.7%","35.3%","44.5%","88.4","17.8","11.4%","109.0","38.9%","19.0%","30.0%","14274"
"Aaron Hicks","NYY","29","221","41","12","36","1",".235","12.2%","28.2%","15.8%","43.4%","40.8%","14.5%","7.6%","0.0%","2.7","25.1%","65.6%","40.7%","55.8%","78.2%","69.7%","38.6%","55.3%","12.3%","45.4%","30.9%","23.7%","22.4%","39.5%","38.2%","45.1%","89.7","13.6","7.9%","111.0","34.9%","17.5%","29.8%","5297"
"Cesar Puello","- - -","28","125","14","4","18","0",".248","6.8%","25.9%","20.7%","65.5%","13.8%","0.0%","10.5%","0.0%","1.2","33.8%","59.9%","44.4%","53.9%","84.9%","70.9%","40.6%","59.9%","12.9%","48.9%","33.0%","18.2%","28.4%","34.1%","37.5%","35.4%","86.3","-3.6","6.8%","110.4","26.1%","18.4%","31.3%","7216"
"C.J. Cron","MIN","29","458","51","25","78","0",".253","5.8%","21.4%","21.5%","42.2%","36.3%","7.8%","6.0%","0.0%","0.9","35.5%","70.1%","50.2%","64.1%","84.7%","76.4%","42.5%","59.1%","11.9%","41.6%","34.6%","23.8%","16.4%","42.5%","41.1%","32.3%","91.1","12.7","14.2%","115.9","44.8%","14.9%","26.8%","12546"
"Teoscar Hernandez","TOR","26","417","58","26","65","6",".230","9.7%","33.0%","17.8%","39.0%","43.2%","12.3%","7.8%","0.0%","4.4","30.3%","72.9%","47.3%","55.6%","77.2%","68.9%","39.8%","65.3%","14.7%","48.7%","29.1%","22.3%","16.2%","40.0%","43.8%","48.3%","91.2","15.3","11.3%","112.1","42.3%","14.8%","29.5%","13066"
"Victor Reyes","DET","24","276","29","3","25","9",".304","4.8%","21.9%","28.7%","45.0%","26.3%","0.0%","6.4%","60.0%","6.4","39.0%","68.2%","51.5%","74.5%","87.0%","81.6%","42.8%","58.6%","9.5%","29.4%","37.9%","32.7%","11.2%","48.6%","40.2%","27.7%","87.6","9.2","1.4%","109.1","31.3%","16.4%","25.9%","15487"
"Jonathan Schoop","MIN","27","433","61","23","59","1",".256","4.3%","25.0%","19.8%","43.4%","36.8%","19.7%","5.8%","0.0%","2.9","43.4%","80.8%","58.2%","54.6%","81.8%","69.6%","39.6%","62.5%","17.7%","46.5%","33.0%","20.4%","23.6%","37.7%","38.7%","34.3%","87.6","12.4","8.8%","114.9","38.4%","10.3%","28.0%","11265"
"Matt Beaty","LAD","26","249","36","9","46","5",".265","6.3%","12.3%","19.0%","48.1%","32.9%","9.9%","5.8%","0.0%","5.4","33.4%","65.6%","46.2%","70.4%","93.7%","83.6%","39.9%","56.3%","7.6%","45.4%","34.7%","19.9%","17.1%","42.6%","40.3%","22.0%","89.4","10.3","4.6%","114.3","40.3%","17.7%","25.3%","17710"
"Justin Smoak","TOR","32","414","54","22","61","0",".208","15.8%","21.2%","20.7%","36.6%","42.7%","6.8%","3.5%","0.0%","0.9","23.0%","64.9%","39.7%","58.3%","87.5%","77.3%","39.8%","53.2%","9.0%","47.9%","35.0%","17.2%","14.2%","43.4%","42.4%","41.4%","90.3","16.7","11.0%","110.8","39.8%","17.9%","26.9%","9054"
"Alex Avila","ARI","32","164","22","9","24","1",".207","17.9%","33.8%","22.9%","52.1%","25.0%","0.0%","6.0%","0.0%","2.2","16.7%","59.4%","35.2%","40.7%","75.1%","65.9%","43.4%","51.2%","12.0%","46.9%","37.5%","15.6%","5.2%","41.7%","53.1%","56.2%","91.4","9.4","16.7%","107.9","49.0%","20.9%","32.9%","7476"
"Michael Chavis","BOS","23","347","46","18","58","2",".254","8.1%","33.2%","19.5%","45.0%","35.5%","7.7%","10.1%","0.0%","3.1","35.3%","75.8%","51.6%","47.1%","75.5%","63.9%","40.4%","61.5%","18.6%","37.3%","39.1%","23.6%","20.9%","45.9%","33.2%","46.1%","88.7","11.3","9.1%","113.8","34.5%","13.0%","31.6%","17321"
"Myles Straw","HOU","24","108","27","0","7","8",".269","14.8%","18.8%","22.9%","48.2%","28.9%","4.2%","10.0%","0.0%","8.8","20.5%","55.5%","35.6%","80.3%","91.9%","88.1%","43.2%","56.3%","4.2%","22.4%","41.2%","36.5%","17.6%","50.6%","31.8%","33.6%","84.7","8.9","1.2%","102.8","16.5%","22.4%","26.6%","17620"
"Renato Nunez","BAL","25","541","72","31","90","1",".244","7.3%","23.9%","21.1%","32.6%","46.3%","17.7%","5.3%","0.0%","1.8","37.5%","67.7%","49.5%","61.5%","85.1%","74.3%","39.8%","59.9%","12.7%","44.3%","29.6%","26.1%","20.4%","43.0%","36.6%","36.4%","89.9","19.9","10.7%","114.8","40.8%","15.7%","28.4%","14503"
"Jose Martinez","STL","30","334","45","10","42","3",".269","9.4%","22.0%","24.1%","49.8%","26.1%","3.0%","5.6%","0.0%","4.5","29.3%","62.0%","43.2%","66.9%","86.2%","78.7%","42.6%","57.6%","9.2%","29.1%","42.9%","28.0%","13.8%","49.2%","37.0%","34.0%","88.9","6.9","6.3%","110.8","39.0%","19.5%","28.7%","7996"
"Evan Longoria","SFG","33","453","59","20","69","3",".254","8.5%","22.0%","21.7%","41.0%","37.3%","4.7%","6.3%","0.0%","3.6","32.6%","66.6%","46.8%","67.6%","82.9%","76.7%","41.7%","60.4%","10.9%","39.3%","39.9%","20.8%","11.0%","45.1%","43.9%","34.4%","89.7","14.0","6.6%","110.3","40.8%","17.0%","27.9%","9368"
"Paul DeJong","STL","25","583","97","30","78","9",".233","9.3%","22.4%","18.0%","37.7%","44.3%","12.3%","6.6%","0.0%","4.3","31.1%","71.4%","48.7%","60.7%","86.5%","77.2%","43.9%","61.6%","11.1%","47.5%","33.2%","19.3%","19.1%","39.3%","41.6%","36.3%","87.1","18.2","8.4%","111.7","33.2%","15.5%","26.6%","18015"
