"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Rafael Devers","BOS","24","591","101","38","113","5",".279","9.3%","21.5%","20.5%","41.2%","38.3%","10.5%","8.1%","50.0%","3.2","36.1%","79.7%","53.5%","66.9%","79.1%","74.1%","39.9%","62.7%","13.8%","36.4%","39.5%","24.2%","17.3%","42.6%","40.1%","36.6%","92.9","13.1","15.0%","114.4","51.5%","10.8%","24.7%","17350"
"Jose Ramirez","CLE","28","552","111","36","103","27",".266","11.3%","13.7%","19.2%","35.6%","45.2%","16.0%","9.6%","100.0%","7.0","27.5%","65.7%","42.9%","76.5%","93.2%","86.8%","40.4%","51.1%","5.6%","56.8%","27.7%","15.5%","18.3%","41.9%","39.8%","30.7%","90.0","18.3","11.1%","112.6","42.3%","17.6%","23.3%","13510"
"Cedric Mullins II","BAL","26","602","91","30","59","30",".291","8.7%","18.5%","19.9%","39.0%","41.1%","12.4%","9.2%","50.0%","6.1","30.0%","64.5%","45.1%","71.7%","87.8%","81.7%","43.6%","59.1%","8.2%","43.6%","32.4%","24.1%","14.9%","51.9%","33.2%","31.7%","89.4","14.8","8.1%","109.7","39.1%","17.3%","25.5%","17929"
"Mitch Garver","MIN","30","207","29","13","34","1",".256","12.8%","29.2%","23.2%","31.2%","45.7%","11.1%","2.3%","0.0%","1.7","24.2%","60.5%","38.8%","58.0%","80.0%","71.8%","40.0%","56.4%","10.9%","53.6%","26.8%","19.6%","14.5%","39.9%","45.7%","47.3%","92.3","19.0","17.4%","111.8","53.6%","20.7%","31.7%","15161"
"Giancarlo Stanton","NYY","31","510","64","35","97","0",".273","10.9%","27.1%","18.5%","44.7%","36.8%","9.9%","4.4%","0.0%","0.6","31.8%","63.6%","44.2%","58.4%","79.7%","70.3%","39.0%","56.5%","13.1%","37.9%","34.0%","28.1%","16.0%","42.4%","41.6%","44.0%","95.1","10.3","15.7%","122.2","55.6%","17.1%","30.3%","4949"
"Yordan Alvarez","HOU","24","537","92","33","104","1",".277","8.4%","24.2%","23.1%","37.8%","39.1%","4.5%","4.7%","100.0%","2.9","30.3%","62.1%","43.0%","62.8%","91.1%","79.1%","40.0%","55.5%","9.0%","35.2%","37.5%","27.3%","12.9%","47.6%","39.5%","38.1%","93.2","14.1","15.9%","116.4","54.2%","19.4%","28.4%","19556"
"Brandon Nimmo","NYM","28","325","51","8","28","5",".292","14.0%","20.5%","22.4%","47.3%","30.2%","10.8%","8.6%","33.3%","4.3","20.0%","67.8%","42.1%","62.7%","86.8%","80.7%","46.3%","61.1%","8.1%","33.1%","35.1%","31.9%","19.8%","46.4%","33.9%","36.5%","89.3","8.8","3.6%","111.5","41.1%","18.4%","26.5%","12927"
"Teoscar Hernandez","TOR","28","550","92","32","116","12",".296","6.1%","24.9%","25.5%","38.4%","36.1%","6.8%","12.3%","0.0%","4.1","34.3%","77.0%","51.9%","52.3%","81.8%","70.3%","41.1%","63.2%","15.4%","42.6%","31.9%","25.5%","12.9%","50.5%","36.6%","36.3%","91.8","13.1","13.9%","115.7","48.8%","12.5%","27.9%","13066"
"Xander Bogaerts","BOS","28","529","90","23","79","5",".295","10.3%","18.7%","22.7%","40.0%","37.4%","11.4%","8.9%","0.0%","3.8","34.1%","63.4%","45.7%","70.9%","86.7%","79.6%","39.7%","58.0%","9.3%","45.6%","31.2%","23.2%","15.8%","48.9%","35.2%","32.8%","89.6","12.5","9.7%","113.6","43.0%","18.4%","27.7%","12161"
"Marcus Semien","TOR","30","652","115","45","102","15",".265","9.1%","20.2%","20.8%","31.0%","48.1%","9.4%","7.6%","0.0%","5.3","25.8%","71.6%","45.1%","63.5%","89.1%","80.6%","42.1%","59.5%","8.7%","51.3%","29.9%","18.9%","15.1%","48.9%","36.0%","35.5%","89.7","20.3","9.8%","109.5","41.3%","15.8%","24.5%","12533"
