Name,Team,G,playerid
Bryce Johnson,SFG,11,20002
Terrance Gore,NYM,10,13658
Ender Inciarte,NYM,11,4922
Billy Hamilton,- - -,37,10199
Travis Swaggerty,PIT,5,24491
Tim Beckham,MIN,12,7949
Christian Lopes,OAK,4,13472
Luis Liberato,SDP,7,17307
Drew Jackson,OAK,3,17807
Ka'ai Tom,SFG,1,18136
Yusniel Diaz,BAL,1,18905
Aaron Whitefield,LAA,5,19938
Brewer Hicklen,KCR,6,20450
Jack Larsen,SEA,1,20510
