Name,Team,G,playerid
Carlos Rodon,SFG,31,16137
Aaron Nola,PHI,32,16149
Brandon Woodruff,MIL,27,16162
Jake Reed,- - -,18,16209
Kyle Freeland,COL,31,16256
Aaron Bummer,CHW,32,16258
Sam Howard,PIT,3,16265
A.J. Ladwig,MIA,1,16266
John Means,BAL,2,16269
Sam Clay,- - -,7,16279
Jesus Tinoco,TEX,17,16300
Gerardo Reyes,LAA,2,16306
Ryan Borucki,- - -,32,16350
Tyler Mahle,- - -,23,16358
Ryan Castellani,OAK,3,16377
Reynaldo Lopez,CHW,61,16400
Yonny Chirinos,TBR,2,16401
Blake Taylor,HOU,19,16418
Foster Griffin,- - -,6,16432
James Norwood,PHI,20,16440
Ryan Yarbrough,TBR,20,16502
Jordan Montgomery,- - -,32,16511
Dusten Knight,TBR,6,16537
Austin Gomber,COL,33,16561
Erik Swanson,SEA,57,16587
Bryan Abreu,HOU,55,16609
J.P. Feyereisen,TBR,22,16610
Jeff Brigham,MIA,16,16631
Ryan Thompson,TBR,47,16647
Julian Merryweather,TOR,26,16703
Vinny Nittoli,PHI,2,16754
Tim Hill,SDP,55,16814
Brennan Bernardino,SEA,2,16835
Locke St. John,CHC,1,16850
Reed Garrett,WSN,7,16866
Eric Stout,- - -,20,16873
Luke Weaver,- - -,27,16918
Touki Toussaint,LAA,8,16929
Elieser Hernandez,MIA,20,16933
Luis Ortiz,SFG,6,16942
Sean Newcomb,- - -,20,16943
Trevor Williams,NYM,30,16977
Daniel Mengden,KCR,5,16980
Tyler Beede,- - -,31,16981
Tanner Banks,CHW,35,16990
Sean Reid-Foley,NYM,7,17034
Pablo Lopez,MIA,32,17085
Domingo Acevedo,OAK,70,17092
Austin Davis,- - -,52,17117
Raisel Iglesias,- - -,67,17130
Domingo German,NYY,15,17149
Jose Castillo,SDP,1,17169
Gabe Speier,KCR,17,17170
Bubby Rossman,PHI,1,17179
Yoan Lopez,NYM,8,17181
Dinelson Lamet,- - -,32,17186
Jalen Beeks,TBR,42,17192
Austin Brice,PIT,4,17237
Sam Coonrod,PHI,12,17264
Ranger Suarez,PHI,29,17277
Michael Kopech,CHW,25,17282
Justus Sheffield,SEA,6,17285
Javy Guerra,- - -,18,17292
Framber Valdez,HOU,31,17295
Justin Steele,CHC,24,17312
Brett Martin,TEX,55,17369
Matt Gage,TOR,11,17381
Erick Fedde,WSN,27,17425
Jeff Hoffman,CIN,35,17432
Jonathan Hernandez,TEX,29,17464
Jack Flaherty,STL,9,17479
Daniel Duarte,CIN,3,17480
Albert Abreu,- - -,33,17485
Spenser Watkins,BAL,23,17489
Genesis Cabrera,STL,39,17490
Diego Castillo,SEA,59,17496
Ryan Burr,CHW,8,17536
Jimmy Herget,LAA,49,17556
JT Brubaker,PIT,28,17578
Marcos Diplan,BAL,5,17583
Tanner Scott,MIA,67,17586
Mitch Keller,PIT,31,17594
Cristian Javier,HOU,30,17606
Tanner Rainey,WSN,29,17610
Taylor Clarke,KCR,47,17611
Justin Lawrence,COL,38,17639
Jeffrey Springs,TBR,33,17677
Ralph Garza,TBR,19,17682
Jose Cuas,KCR,47,17701
Trevor Megill,MIN,40,17722
Nabil Crismatt,SDP,50,17732
Tyler Alexander,DET,27,17735
Drew Smith,NYM,44,17755
Jose Alvarado,PHI,59,17780
Jake Brentz,KCR,8,17783
Dillon Tate,BAL,67,17796
Adbert Alzolay,CHC,6,17859
Ian Gibaut,- - -,34,17871
Nestor Cortes,NYY,28,17874
Dennis Santana,TEX,63,17878
Tayler Saucedo,TOR,4,17888
Garrett Cleavinger,- - -,17,17897
Trent Thornton,TOR,32,17948
Tyler Gilbert,ARI,8,17964
Brock Burke,TEX,52,17968
Logan Webb,SFG,32,17995
Pete Fairbanks,TBR,24,17998
Triston McKenzie,CLE,31,18000
Phil Maton,HOU,67,18064
Cody Stashak,MIN,11,18088
Ryan Helsley,STL,54,18138
Anthony Misiewicz,- - -,32,18152
James Naile,STL,7,18186
Art Warren,CIN,39,18251
Jarlin Garcia,SFG,58,18282
Tyler Kinley,COL,25,18297
Josh Sborz,TEX,19,18323
Taylor Hearn,TEX,31,18325
James Kaprielian,OAK,27,18331
Alex Young,- - -,25,18333
Josh Staumont,KCR,42,18335
Jaime Barria,LAA,35,18356
Connor Overton,CIN,6,18376
Scott Effross,- - -,60,18384
Enyel De Los Santos,CLE,50,18403
Jose Urquidy,HOU,29,18413
Tyler Cyr,- - -,12,18421
Danny Young,- - -,3,18439
Trevor Kelley,MIL,18,18454
Junior Fernandez,- - -,16,18496
Josh Rogers,WSN,16,18510
Phil Bickford,LAD,60,18519
Dylan Cease,CHW,32,18525
Sam Hentges,CLE,57,18548
Logan Allen,- - -,7,18555
Anderson Espinoza,CHC,7,18593
Travis Lakins Sr.,BAL,6,18600
A.J. Minter,ATL,75,18655
Jake Woodford,STL,27,18674
Freddy Peralta,MIL,18,18679
Sandy Alcantara,MIA,32,18684
Kolby Allard,TEX,10,18694
Nick Neidert,MIA,1,18699
Cody Poteet,MIA,12,18769
Dillon Peters,PIT,22,18790
Drew Steckenrider,SEA,16,18806
Miguel Diaz,DET,3,18815
Pedro Avila,SDP,2,18864
Tommy Nance,MIA,35,19178
Kirby Snead,OAK,46,19179
Robert Dugger,- - -,4,19191
Conner Menez,CHC,1,19199
Jose Quijada,LAA,42,19200
Dakota Hudson,STL,27,19206
Mitch White,- - -,25,19225
Cole Irvin,OAK,30,19244
Seranthony Dominguez,PHI,54,19249
Ian Hamilton,MIN,1,19261
Thomas Hatch,TOR,1,19264
Taylor Widener,ARI,14,19266
Justin Dunn,CIN,7,19268
T.J. Zeuch,CIN,3,19269
Vladimir Gutierrez,CIN,10,19278
Kyle Dowdy,CIN,2,19285
Zac Gallen,ARI,31,19291
Trevor Richards,TOR,62,19309
Cal Quantrill,CLE,32,19312
Eric Lauer,MIL,29,19316
Matthew Festa,SEA,53,19330
A.J. Puk,OAK,62,19343
Daulton Jefferies,OAK,8,19345
Caleb Ferguson,LAD,37,19349
Dean Kremer,BAL,22,19350
Cody Sedlock,BAL,1,19357
Corbin Burnes,MIL,33,19361
Keegan Akin,BAL,45,19362
Walker Buehler,LAD,12,19374
Tony Gonsolin,LAD,24,19388
Colin Poche,TBR,65,19403
Ronel Blanco,HOU,7,19407
Dane Dunning,TEX,29,19409
Shane Bieber,CLE,31,19427
Yohan Ramirez,- - -,30,19444
Patrick Sandoval,LAA,27,19447
Shaun Anderson,TOR,1,19453
Michael Rucker,CHC,41,19454
Bryan Garcia,DET,4,19457
Jorge Alcala,MIN,2,19459
Aaron Civale,CLE,20,19479
Andrew Vasquez,- - -,10,19482
Devin Smeltzer,MIN,15,19487
Zach Jackson,OAK,54,19493
Raynel Espinal,CIN,2,19516
Tanner Tully,CLE,3,19518
Cam Vieaux,PIT,8,19529
Jason Foley,DET,60,19531
Ryan Hendrix,CIN,9,19535
Jimmy Lambert,CHW,42,19541
Stephen Nogosek,NYM,12,19545
David Bednar,PIT,45,19569
JoJo Romero,- - -,17,19574
Norge Ruiz,OAK,14,19580
Sean Poppen,ARI,29,19583
Luke Barker,MIL,3,19609
Cionel Perez,BAL,66,19614
Jordan Hicks,STL,35,19618
Matt Foster,CHW,48,19647
Kyle Wright,ATL,30,19665
Jason Alexander,MIL,18,19666
Gregory Soto,DET,64,19677
Jordan Sheffield,COL,2,19682
Connor Seabold,BOS,5,19695
Matt Swarmer,CHC,11,19705
Patrick Murphy,WSN,6,19712
Dustin May,LAD,6,19716
Kodi Whitley,STL,14,19731
Anthony Bender,MIA,22,19742
Jonathan Loaisiga,NYY,50,19753
Reiver Sanmartin,CIN,45,19754
Will Vest,DET,59,19769
Jacob Lemoine,OAK,9,19785
Anthony Castro,CLE,12,19789
Keegan Thompson,CHC,29,19795
Wil Crowe,PIT,60,19800
Bryan Baker,BAL,66,19804
Daniel Castano,MIA,10,19805
David McKay,- - -,4,19814
Alex Wells,BAL,2,19845
Darwinzon Hernandez,BOS,7,19848
Michael King,NYY,34,19853
Brandon Bielak,HOU,5,19866
Drew Carlton,DET,5,19868
Tucker Davidson,- - -,12,19871
Alex Faedo,DET,12,19874
Kevin Ginkel,ARI,30,19876
Tanner Houck,BOS,32,19879
Alex Lange,DET,71,19883
Corbin Martin,ARI,7,19884
Clarke Schmidt,NYY,29,19899
Adonis Medina,NYM,14,19903
Jose Suarez,LAA,22,19911
Tony Santillan,CIN,21,19926
Trevor Stephan,CLE,66,19932
Jhon Romero,MIN,4,19940
Ian Anderson,ATL,22,19951
Jesus Luzardo,MIA,18,19959
Joey Wentz,DET,7,19962
Tyson Miller,TEX,4,19976
Zach Plesac,CLE,25,19979
Bryse Wilson,PIT,25,19990
Joel Kuhnel,CIN,53,19995
Dylan Lee,ATL,46,19996
Tyler Wells,BAL,23,20000
Kenny Rosenberg,LAA,3,20009
Wyatt Mills,- - -,27,20010
John Schreiber,BOS,64,20020
Rico Garcia,BAL,6,20023
Phillip Diehl,CIN,5,20030
Adrian Morejon,SDP,26,20039
